PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
P02666	CSN2	0.000000	0.000000	0.000000	
P02769	ALB	0.000000	0.000000	0.000000	
A0A075B6Q5	IGHV3-64	0.000000	0.000000	0.000000	
A0A087WSY6	IGKV3D-15	0.000000	0.000000	0.000000	
A0A1W2PQ73	ERFL	0.000000	0.000000	0.000000	
A0A3B3IRV3	MCTS2	0.000000	0.000000	0.000000	
A0A8I5KQE6	RPSA2	0.000000	0.000000	0.000000	
A0AV96	RBM47	0.000000	0.000000	0.000000	
A0AVT1	UBA6	0.000000	0.000000	0.000000	
A1L0T0	HACL2	0.000000	0.000000	0.000000	
A2RUB6	CCDC66	0.000000	0.000000	0.000000	
A2RUS2	DENND3	0.000000	0.000000	0.000000	
A2VDF0	FUOM	0.000000	0.000000	0.000000	
A3KN83	SBNO1	0.000000	0.000000	0.000000	
A5YKK6	CNOT1	0.000000	0.000000	0.000000	
A6NED2	RCCD1	0.000000	0.000000	0.000000	
A6NHR9	SMCHD1	0.000000	0.000000	0.000000	
A6NHT5	HMX3	0.000000	0.000000	0.000000	
A7E2V4	ZSWIM8	0.000000	0.000000	0.000000	
A8K8P3	SFI1	0.000000	0.000000	0.000000	
A8MXV4	NUDT19	0.000000	0.000000	0.000000	
A8MYP8	CIMAP1B	0.000000	0.000000	0.000000	
B0I1T2	MYO1G	0.000000	0.000000	0.000000	
B2RPK0	HMGB1P1	0.000000	0.000000	0.000000	
B2RXH8	HNRNPCL2	0.000000	0.000000	0.000000	
B5ME19	EIF3CL	0.000000	0.000000	0.000000	
C4AMC7	WASH3P	0.000000	0.000000	0.000000	
C9J798	RASA4B	0.000000	0.000000	0.000000	
O00139	KIF2A	0.000000	0.000000	0.000000	
O00148	DDX39A	0.000000	0.000000	0.000000	
O00159	MYO1C	0.000000	0.000000	0.000000	
O00165	HAX1	0.000000	0.000000	0.000000	
O00170	AIP	0.000000	0.000000	0.000000	
O00182	LGALS9	0.000000	0.000000	0.000000	
O00214	LGALS8	0.000000	0.000000	0.000000	
O00221	NFKBIE	0.000000	0.000000	0.000000	
O00231	PSMD11	0.000000	0.000000	0.000000	
O00244	ATOX1	0.000000	0.000000	0.000000	
O00255	MEN1	0.000000	0.000000	0.000000	
O00264	PGRMC1	0.000000	0.000000	0.000000	
O00267	SUPT5H	0.000000	0.000000	0.000000	
O00329	PIK3CD	0.000000	0.000000	0.000000	
O00410	IPO5	0.000000	0.000000	0.000000	
O00418	EEF2K	0.000000	0.000000	0.000000	
O00422	SAP18	0.000000	0.000000	0.000000	
O00429	DNM1L	0.000000	0.000000	0.000000	
O00462	MANBA	0.000000	0.000000	0.000000	
O00468	AGRN	0.000000	0.000000	0.000000	
O00478	BTN3A3	0.000000	0.000000	0.000000	
O00483	COXFA4	0.000000	0.000000	0.000000	
O00487	PSMD14	0.000000	0.000000	0.000000	
O00505	KPNA3	0.000000	0.000000	0.000000	
O00566	MPHOSPH10	0.000000	0.000000	0.000000	
