PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
SPROHSA100017		0.000000	0.000000	0.000000	
SPROHSA100401		0.000000	0.000000	0.000000	
SPROHSA10046		0.000000	0.000000	0.000000	
SPROHSA100502		0.000000	0.000000	0.000000	
SPROHSA100508		0.000000	0.000000	0.000000	
SPROHSA100641		0.000000	0.000000	0.000000	
SPROHSA100725		0.000000	0.000000	0.000000	
SPROHSA100753		0.000000	0.000000	0.000000	
SPROHSA10078		0.000000	0.000000	0.000000	
SPROHSA100858		0.000000	0.000000	0.000000	
SPROHSA100895		0.000000	0.000000	0.000000	
SPROHSA100977		0.000000	0.000000	0.000000	
SPROHSA101		0.000000	0.000000	0.000000	
SPROHSA101091		0.000000	0.000000	0.000000	
SPROHSA101179		0.000000	0.000000	0.000000	
SPROHSA101228		0.000000	0.000000	0.000000	
SPROHSA10144		0.000000	0.000000	0.000000	
SPROHSA101581		0.000000	0.000000	0.000000	
SPROHSA101955		0.000000	0.000000	0.000000	
SPROHSA102089		0.000000	0.000000	0.000000	
SPROHSA102203		0.000000	0.000000	0.000000	
SPROHSA102275		0.000000	0.000000	0.000000	
SPROHSA102649		0.000000	0.000000	0.000000	
SPROHSA10275		0.000000	0.000000	0.000000	
SPROHSA102773		0.000000	0.000000	0.000000	
SPROHSA103105		0.000000	0.000000	0.000000	
SPROHSA103126		0.000000	0.000000	0.000000	
SPROHSA103420		0.000000	0.000000	0.000000	
SPROHSA103471		0.000000	0.000000	0.000000	
SPROHSA103831		0.000000	0.000000	0.000000	
SPROHSA10386		0.000000	0.000000	0.000000	
SPROHSA103995		0.000000	0.000000	0.000000	
SPROHSA104097		0.000000	0.000000	0.000000	
SPROHSA104304		0.000000	0.000000	0.000000	
SPROHSA104436		0.000000	0.000000	0.000000	
SPROHSA104465		0.000000	0.000000	0.000000	
SPROHSA104763		0.000000	0.000000	0.000000	
SPROHSA104774		0.000000	0.000000	0.000000	
SPROHSA105213		0.000000	0.000000	0.000000	
SPROHSA105245		0.000000	0.000000	0.000000	
SPROHSA105477		0.000000	0.000000	0.000000	
SPROHSA105511		0.000000	0.000000	0.000000	
SPROHSA105785		0.000000	0.000000	0.000000	
SPROHSA105795		0.000000	0.000000	0.000000	
SPROHSA105973		0.000000	0.000000	0.000000	
SPROHSA106010		0.000000	0.000000	0.000000	
SPROHSA106075		0.000000	0.000000	0.000000	
SPROHSA106396		0.000000	0.000000	0.000000	
SPROHSA106615		0.000000	0.000000	0.000000	
SPROHSA106620		0.000000	0.000000	0.000000	
SPROHSA106810		0.000000	0.000000	0.000000	
SPROHSA106874		0.000000	0.000000	0.000000	
SPROHSA106879		0.000000	0.000000	0.000000	
SPROHSA106923		0.000000	0.000000	0.000000	
SPROHSA107067		0.000000	0.000000	0.000000	
SPROHSA107389		0.000000	0.000000	0.000000	
SPROHSA107501		0.000000	0.000000	0.000000	
SPROHSA107671		0.000000	0.000000	0.000000	
SPROHSA1079		0.000000	0.000000	0.000000	
SPROHSA108032		0.000000	0.000000	0.000000	
SPROHSA10808		0.000000	0.000000	0.000000	
SPROHSA108491		0.000000	0.000000	0.000000	
SPROHSA108601		0.000000	0.000000	0.000000	
SPROHSA109008		0.000000	0.000000	0.000000	
SPROHSA109136		0.000000	0.000000	0.000000	
