Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GRLCL_1D_ETHCD Spectral Count	GRLCL_1D_HCD Spectral Count	GRLCL_2D_ETHCD Spectral Count	GRLCL_1D_ETHCD Intensity	GRLCL_1D_HCD Intensity	GRLCL_2D_ETHCD Intensity	Indistinguishable Proteins
SPROHSA100017	SPROHSA100017	SPROHSA100017		91			SPROHSA100017	1.0000	0.9989	2	5	0	5	1	2	2	     0	     0	     0	SPROHSA100018, SPROHSA108507, SPROHSA125697, SPROHSA125698, SPROHSA250295, SPROHSA250296, SPROHSA280608, SPROHSA280609	
SPROHSA100401	SPROHSA100401	SPROHSA100401		35			SPROHSA100401	1.0000	0.9965	1	3	0	3	0	1	2	     0	     0	     0	SPROHSA100402, SPROHSA100403, SPROHSA236592, SPROHSA236593, SPROHSA236594, SPROHSA257064, SPROHSA35674, SPROHSA35675, SPROHSA382756, SPROHSA382757	
SPROHSA10046	SPROHSA10046	SPROHSA10046		84			SPROHSA10046	1.0000	0.9941	1	2	0	2	0	0	2	     0	     0	     0	SPROHSA123135, SPROHSA349243	
SPROHSA100502	SPROHSA100502	SPROHSA100502		73			SPROHSA100502	1.0000	0.9809	1	5	0	5	1	1	3	     0	     0	     0	SPROHSA122692, SPROHSA122693, SPROHSA154932, SPROHSA154933, SPROHSA255257, SPROHSA261383, SPROHSA261384, SPROHSA276232, SPROHSA276233, SPROHSA287871, SPROHSA287872, SPROHSA330096, SPROHSA355951, SPROHSA376959, SPROHSA78153, SPROHSA78154, SPROHSA88753, SPROHSA88754, rev_SPROHSA311762	
SPROHSA100508	SPROHSA100508	SPROHSA100508		92			SPROHSA100508	1.0000	0.9628	2	2	0	2	0	2	0	     0	     0	     0	SPROHSA291222, SPROHSA352917	
SPROHSA100641	SPROHSA100641	SPROHSA100641		52			SPROHSA100641	1.0000	0.9695	1	2	0	2	0	1	1	     0	     0	     0	SPROHSA111619, SPROHSA127201, SPROHSA197345, SPROHSA217802, SPROHSA230657, SPROHSA237993, SPROHSA330254	
SPROHSA100725	SPROHSA100725	SPROHSA100725		71			SPROHSA100725	1.0000	0.9972	3	9	0	9	1	4	4	     0	     0	     0	SPROHSA100726, SPROHSA126255, SPROHSA143284, SPROHSA169871, SPROHSA177094, SPROHSA177095, SPROHSA241467, SPROHSA241468, SPROHSA293380, SPROHSA375435, SPROHSA375436, SPROHSA41656, SPROHSA41657, SPROHSA41658, SPROHSA41659	
SPROHSA100753	SPROHSA100753	SPROHSA100753		85			SPROHSA100753	1.0000	0.9929	2	2	0	2	0	0	2	     0	     0	     0	SPROHSA121760, SPROHSA151219, SPROHSA181732, SPROHSA196288, SPROHSA207511, SPROHSA21221, SPROHSA24473, SPROHSA252772, SPROHSA2841, SPROHSA31560, SPROHSA367632, SPROHSA371990, SPROHSA96863	
SPROHSA10078	SPROHSA10078	SPROHSA10078		22			SPROHSA10078	1.0000	0.9976	1	4	0	4	0	1	3	     0	     0	     0	SPROHSA119925, SPROHSA119932, SPROHSA13025, SPROHSA13028, SPROHSA165050, SPROHSA165057, SPROHSA227326, SPROHSA239478, SPROHSA271069, SPROHSA327290, SPROHSA327296, SPROHSA370535, SPROHSA372406, SPROHSA378108	
SPROHSA100858	SPROHSA100858	SPROHSA100858		23			SPROHSA100858	1.0000	0.9659	1	2	0	2	1	1	0	     0	     0	     0	SPROHSA164803, SPROHSA188870, SPROHSA190963, SPROHSA234338, SPROHSA240152, SPROHSA242641, SPROHSA248559, SPROHSA27076, SPROHSA336644, SPROHSA354770, SPROHSA362543	
SPROHSA100895	SPROHSA100895	SPROHSA100895		42			SPROHSA100895	1.0000	0.9675	2	4	0	4	1	1	2	     0	     0	     0	SPROHSA225859, SPROHSA358466	
SPROHSA100977	SPROHSA100977	SPROHSA100977		39			SPROHSA100977	1.0000	0.9986	1	1	0	1	0	1	0	     0	     0	     0	SPROHSA100978, SPROHSA208449, SPROHSA250933, SPROHSA250934, SPROHSA321225, SPROHSA37333, SPROHSA47421, SPROHSA47422	
SPROHSA101	SPROHSA101	SPROHSA101		89			SPROHSA101	1.0000	0.9984	5	17	0	17	3	4	10	     0	     0	     0	SPROHSA102, SPROHSA18354, SPROHSA18355, SPROHSA18356, SPROHSA232489, SPROHSA9102, SPROHSA9103, SPROHSA98338, SPROHSA98339, SPROHSA98340	
SPROHSA101091	SPROHSA101091	SPROHSA101091		74			SPROHSA101091	1.0000	0.9898	1	2	0	2	0	1	1	     0	     0	     0	SPROHSA217040, SPROHSA319041, SPROHSA73362, SPROHSA86271	
SPROHSA101179	SPROHSA101179	SPROHSA101179		84			SPROHSA101179	1.0000	0.9955	1	2	0	2	0	1	1	     0	     0	     0	SPROHSA221453, SPROHSA298437	
SPROHSA101228	SPROHSA101228	SPROHSA101228		71			SPROHSA101228	1.0000	0.9990	1	1	0	1	0	0	1	     0	     0	     0	SPROHSA117251, SPROHSA374035, SPROHSA379833	
SPROHSA10144	SPROHSA10144	SPROHSA10144		59			SPROHSA10144	1.0000	0.9987	1	1	0	1	0	0	1	     0	     0	     0	SPROHSA122780, SPROHSA12489, SPROHSA282313, SPROHSA283570, SPROHSA290894, SPROHSA325349	
SPROHSA101581	SPROHSA101581	SPROHSA101581		97			SPROHSA101581	1.0000	0.9906	1	2	0	2	0	0	2	     0	     0	     0	SPROHSA104318, SPROHSA114066, SPROHSA117951, SPROHSA117952, SPROHSA165426, SPROHSA165428, SPROHSA176522, SPROHSA176524, SPROHSA177284, SPROHSA222373, SPROHSA263613, SPROHSA286673, SPROHSA298168, SPROHSA365550, SPROHSA56816	
SPROHSA101955	SPROHSA101955	SPROHSA101955		96			SPROHSA101955	1.0000	0.9890	2	3	0	3	0	1	2	     0	     0	     0	SPROHSA237975, SPROHSA3031, SPROHSA338, SPROHSA361922, SPROHSA72482	
SPROHSA102089	SPROHSA102089	SPROHSA102089		97			SPROHSA102089	1.0000	0.9893	2	2	0	2	0	1	1	     0	     0	     0	SPROHSA284213	
SPROHSA102203	SPROHSA102203	SPROHSA102203		61			SPROHSA102203	1.0000	0.9955	1	4	0	4	1	1	2	     0	     0	     0	SPROHSA102204, SPROHSA201558, SPROHSA201559	
SPROHSA102275	SPROHSA102275	SPROHSA102275		34			SPROHSA102275	1.0000	0.9990	1	3	0	3	1	1	1	     0	     0	     0	SPROHSA2149, SPROHSA339068, SPROHSA354262, SPROHSA54880	
SPROHSA102649	SPROHSA102649	SPROHSA102649		78			SPROHSA102649	1.0000	0.9990	1	2	0	2	0	2	0	     0	     0	     0	SPROHSA340788, SPROHSA382158, SPROHSA59025, SPROHSA59249	
SPROHSA10275	SPROHSA10275	SPROHSA10275		38			SPROHSA10275	1.0000	0.9985	1	3	0	3	1	1	1	     0	     0	     0	SPROHSA133564, SPROHSA230689, SPROHSA230690, SPROHSA238943, SPROHSA285654	
SPROHSA102773	SPROHSA102773	SPROHSA102773		93			SPROHSA102773	1.0000	0.9921	1	6	0	6	0	0	6	     0	     0	     0	SPROHSA298764, SPROHSA370712, SPROHSA382722	
SPROHSA103105	SPROHSA103105	SPROHSA103105		26			SPROHSA103105	1.0000	0.9748	1	2	0	2	0	1	1	     0	     0	     0	SPROHSA167542, SPROHSA195986, SPROHSA222119, SPROHSA235319, SPROHSA259440, SPROHSA260812, SPROHSA326382, SPROHSA87352	
SPROHSA103126	SPROHSA103126	SPROHSA103126		83			SPROHSA103126	1.0000	0.9710	1	4	0	4	1	1	2	     0	     0	     0	SPROHSA110591, SPROHSA180812, SPROHSA236354, SPROHSA241707, SPROHSA296933, SPROHSA316733, SPROHSA73559	
SPROHSA103420	SPROHSA103420	SPROHSA103420		88			SPROHSA103420	1.0000	0.9877	1	5	0	5	1	2	2	     0	     0	     0	SPROHSA115381, SPROHSA117870, SPROHSA117871, SPROHSA237185, SPROHSA241459, SPROHSA241470, SPROHSA241495, SPROHSA243255, SPROHSA243366, SPROHSA245592, SPROHSA254440, SPROHSA272843, SPROHSA321885, SPROHSA348377, SPROHSA352581, SPROHSA352584, SPROHSA367012, SPROHSA367043, SPROHSA368935, SPROHSA383207, SPROHSA383210, SPROHSA43251, SPROHSA44001, SPROHSA58615, SPROHSA84684, SPROHSA86393	
SPROHSA103471	SPROHSA103471	SPROHSA103471		99			SPROHSA103471	1.0000	0.9707	2	2	0	2	0	1	1	     0	     0	     0	SPROHSA241781, SPROHSA279776	
SPROHSA103831	SPROHSA103831	SPROHSA103831		75			SPROHSA103831	1.0000	0.9695	1	5	0	5	1	4	0	     0	     0	     0	SPROHSA253017, SPROHSA27814, SPROHSA32023, SPROHSA368099	
