Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	false	true	Bos taurus	Beta-casein	1:Experimental evidence at protein level	7.59	1.0000	0.9988	0.00000000000000	2	2	2	2	2	2	     0	     0	     0			
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	true	Bos taurus	Albumin	1:Experimental evidence at protein level	1.65	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	false	false	Homo sapiens	Immunoglobulin kappa variable 3D-15	1:Experimental evidence at protein level	15.65	1.0000	0.9908	0.00367985280589	2	0	2	2	0	2	     0	     0	     0			sp|P01624|KV315_HUMAN
sp|A0A1W2PQ73|ERFL_HUMAN	A0A1W2PQ73	ERFL_HUMAN	ERFL	354	false	false	Homo sapiens	ETS domain-containing transcription factor ERF-like	3:Protein inferred from homology	2.54	1.0000	0.9871	0.00615384615385	1	0	1	1	0	1	     0	     0	     0			sp|P41162|ETV3_HUMAN, sp|P50548|ERF_HUMAN, sp|Q6ZN32|ETV3L_HUMAN
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	false	false	Homo sapiens	Malignant T-cell-amplified sequence 2	1:Experimental evidence at protein level	4.97	1.0000	0.9942	0.00293255131965	1	0	1	1	0	1	     0	     0	     0			sp|Q9ULC4|MCTS1_HUMAN
sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	295	false	false	Homo sapiens	Small ribosomal subunit protein uS2B	1:Experimental evidence at protein level	2.71	1.0000	0.9930	0.00367985280589	2	0	2	2	0	2	     0	     0	     0			sp|P08865|RSSA_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	false	false	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	0.95	1.0000	0.9979	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|A2VDF0|FUCM_HUMAN	A2VDF0	FUCM_HUMAN	FUOM	154	false	false	Homo sapiens	Fucose mutarotase	1:Experimental evidence at protein level	6.49	1.0000	0.9966	0.00162008910490	1	1	1	2	2	2	     0	     0	     0			
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	false	false	Homo sapiens	CCR4-NOT transcription complex subunit 1	1:Experimental evidence at protein level	0.42	1.0000	0.9989	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	false	false	Homo sapiens	RCC1 domain-containing protein 1	1:Experimental evidence at protein level	2.66	1.0000	0.9985	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	false	false	Homo sapiens	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1:Experimental evidence at protein level	0.45	1.0000	0.9980	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|A6NHT5|HMX3_HUMAN	A6NHT5	HMX3_HUMAN	HMX3	357	false	false	Homo sapiens	Homeobox protein HMX3	1:Experimental evidence at protein level	2.52	1.0000	0.9901	0.00419790104948	1	1	1	1	1	1	     0	     0	     0			
