PROTID	GENEID	PROTLEN	GRLCL_1D_ETHCD_SPC	GRLCL_1D_HCD_SPC	GRLCL_2D_ETHCD_SPC	
na	na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
SPROHSA100017		91	1	2	2	
SPROHSA100401		35	0	1	2	
SPROHSA10046		84	0	0	2	
SPROHSA100502		73	1	1	3	
SPROHSA100508		92	0	2	0	
SPROHSA100641		52	0	1	1	
SPROHSA100725		71	1	4	4	
SPROHSA100753		85	0	0	2	
SPROHSA10078		22	0	1	3	
SPROHSA100858		23	1	1	0	
SPROHSA100895		42	1	1	2	
SPROHSA100977		39	0	1	0	
SPROHSA101		89	3	4	10	
SPROHSA101091		74	0	1	1	
SPROHSA101179		84	0	1	1	
SPROHSA101228		71	0	0	1	
SPROHSA10144		59	0	0	1	
SPROHSA101581		97	0	0	2	
SPROHSA101955		96	0	1	2	
SPROHSA102089		97	0	1	1	
SPROHSA102203		61	1	1	2	
SPROHSA102275		34	1	1	1	
SPROHSA102649		78	0	2	0	
SPROHSA10275		38	1	1	1	
SPROHSA102773		93	0	0	6	
SPROHSA103105		26	0	1	1	
SPROHSA103126		83	1	1	2	
SPROHSA103420		88	1	2	2	
SPROHSA103471		99	0	1	1	
SPROHSA103831		75	1	4	0	
SPROHSA10386		26	1	2	0	
SPROHSA103995		37	2	1	1	
SPROHSA104097		60	0	2	0	
SPROHSA104304		31	1	2	2	
SPROHSA104436		93	1	3	2	
SPROHSA104465		87	4	9	9	
SPROHSA104763		41	1	2	0	
SPROHSA104774		79	0	0	2	
SPROHSA105213		93	0	0	2	
SPROHSA105245		77	0	1	1	
SPROHSA105477		39	0	3	5	
SPROHSA105511		78	1	1	0	
SPROHSA105785		79	0	1	1	
SPROHSA105795		95	0	1	4	
SPROHSA105973		93	1	3	7	
SPROHSA106010		94	1	3	2	
SPROHSA106075		91	0	1	1	
SPROHSA106396		33	3	5	0	
SPROHSA106615		78	0	1	3	
SPROHSA106620		92	2	2	2	
SPROHSA106810		37	0	1	1	
SPROHSA106874		23	0	0	3	
SPROHSA106879		58	2	5	1	
SPROHSA106923		47	1	1	1	
SPROHSA107067		58	2	3	1	
SPROHSA107389		28	0	1	2	
SPROHSA107501		95	1	0	2	
SPROHSA107671		39	0	2	0	
SPROHSA1079		55	2	1	1	
SPROHSA108032		96	0	2	1	
SPROHSA10808		29	2	2	1	
SPROHSA108491		79	0	1	1	
SPROHSA108601		54	1	2	1	
SPROHSA109008		90	1	3	0	
SPROHSA109136		80	0	1	0	
SPROHSA109223		53	0	1	1	
SPROHSA109395		88	1	1	1	
SPROHSA10943		75	1	1	1	
SPROHSA109438		62	0	1	2	
SPROHSA109714		97	2	3	1	
SPROHSA109770		30	0	1	3	
SPROHSA110105		93	0	2	4	
SPROHSA110132		85	0	3	0	
SPROHSA110383		67	1	1	2	
SPROHSA110423		98	1	2	1	
SPROHSA11056		93	2	6	7	
SPROHSA110642		46	2	3	5	
SPROHSA110748		80	1	2	2	
SPROHSA111115		73	2	3	2	
SPROHSA111158		97	0	0	4	
SPROHSA111162		99	0	1	1	
SPROHSA11122		73	3	1	3	
SPROHSA111411		96	0	1	2	
SPROHSA111475		90	0	2	2	
SPROHSA111513		83	3	4	2	
SPROHSA111524		81	3	5	5	
SPROHSA111526		75	0	1	2	
SPROHSA111597		23	1	2	3	
SPROHSA111643		46	0	0	2	
SPROHSA111667		94	0	1	2	
SPROHSA111703		69	2	3	3	
SPROHSA111838		100	2	3	7	
SPROHSA111887		89	0	1	0	
SPROHSA111915		69	0	1	1	
SPROHSA111956		87	0	1	0	
SPROHSA111998		42	1	1	2	
SPROHSA112019		64	1	4	4	
SPROHSA112028		57	0	1	1	
SPROHSA112140		96	2	5	0	
SPROHSA11229		75	0	1	2	
SPROHSA1123		72	0	1	3	
SPROHSA112302		91	1	1	2	
SPROHSA112671		64	0	4	0	
SPROHSA112686		40	2	1	2	
SPROHSA112810		78	0	2	0	
SPROHSA112822		29	1	3	0	
SPROHSA112911		35	0	1	1	
SPROHSA112953		98	0	0	1	
SPROHSA112990		92	1	2	1	
SPROHSA113013		81	0	0	2	
SPROHSA113142		91	3	5	3	
SPROHSA11330		94	0	3	1	
SPROHSA113419		76	0	2	0	
SPROHSA113464		66	2	2	2	
SPROHSA113618		66	4	6	5	
SPROHSA113641		64	2	7	0	
SPROHSA114117		79	0	2	0	
SPROHSA114225		47	2	1	2	
SPROHSA114234		99	1	0	1	
SPROHSA11429		89	1	1	0	
SPROHSA114304		55	0	2	0	
SPROHSA114438		75	0	1	1	
SPROHSA114776		96	0	1	2	
SPROHSA11485		98	1	2	2	
SPROHSA115011		68	0	0	2	
