Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
SPROHSA100017	SPROHSA100017	SPROHSA100017		91	false	false		SPROHSA100017		15.38	1.0000	0.9989	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA100018, SPROHSA108507, SPROHSA125697, SPROHSA125698, SPROHSA250295, SPROHSA250296, SPROHSA280608, SPROHSA280609
SPROHSA100401	SPROHSA100401	SPROHSA100401		35	false	false		SPROHSA100401		31.43	1.0000	0.9965	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA100402, SPROHSA100403, SPROHSA236592, SPROHSA236593, SPROHSA236594, SPROHSA257064, SPROHSA35674, SPROHSA35675, SPROHSA382756, SPROHSA382757
SPROHSA100502	SPROHSA100502	SPROHSA100502		73	false	false		SPROHSA100502		12.33	1.0000	0.9809	0.00144822592324	1	0	1	1	0	1	     0	     0	     0			SPROHSA122692, SPROHSA122693, SPROHSA154932, SPROHSA154933, SPROHSA255257, SPROHSA261383, SPROHSA261384, SPROHSA276232, SPROHSA276233, SPROHSA287871, SPROHSA287872, SPROHSA330096, SPROHSA355951, SPROHSA376959, SPROHSA78153, SPROHSA78154, SPROHSA88753, SPROHSA88754, rev_SPROHSA311762
SPROHSA100508	SPROHSA100508	SPROHSA100508		92	false	false		SPROHSA100508		11.96	1.0000	0.9628	0.00436205016358	2	0	2	2	0	2	     0	     0	     0			SPROHSA291222, SPROHSA352917
SPROHSA100641	SPROHSA100641	SPROHSA100641		52	false	false		SPROHSA100641		17.31	1.0000	0.9695	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA111619, SPROHSA127201, SPROHSA197345, SPROHSA217802, SPROHSA230657, SPROHSA237993, SPROHSA330254
SPROHSA100725	SPROHSA100725	SPROHSA100725		71	false	false		SPROHSA100725		26.76	1.0000	0.9972	0.00000000000000	3	0	3	4	0	4	     0	     0	     0			SPROHSA100726, SPROHSA126255, SPROHSA143284, SPROHSA169871, SPROHSA177094, SPROHSA177095, SPROHSA241467, SPROHSA241468, SPROHSA293380, SPROHSA375435, SPROHSA375436, SPROHSA41656, SPROHSA41657, SPROHSA41658, SPROHSA41659
SPROHSA10078	SPROHSA10078	SPROHSA10078		22	false	false		SPROHSA10078		50.00	1.0000	0.9976	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA119925, SPROHSA119932, SPROHSA13025, SPROHSA13028, SPROHSA165050, SPROHSA165057, SPROHSA227326, SPROHSA239478, SPROHSA271069, SPROHSA327290, SPROHSA327296, SPROHSA370535, SPROHSA372406, SPROHSA378108
SPROHSA100858	SPROHSA100858	SPROHSA100858		23	false	false		SPROHSA100858		39.13	1.0000	0.9659	0.00339558573854	1	0	1	1	0	1	     0	     0	     0			SPROHSA164803, SPROHSA188870, SPROHSA190963, SPROHSA234338, SPROHSA240152, SPROHSA242641, SPROHSA248559, SPROHSA27076, SPROHSA336644, SPROHSA354770, SPROHSA362543
SPROHSA100895	SPROHSA100895	SPROHSA100895		42	false	false		SPROHSA100895		21.43	1.0000	0.9675	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA225859, SPROHSA358466
SPROHSA100977	SPROHSA100977	SPROHSA100977		39	false	false		SPROHSA100977		25.64	1.0000	0.9986	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA100978, SPROHSA208449, SPROHSA250933, SPROHSA250934, SPROHSA321225, SPROHSA37333, SPROHSA47421, SPROHSA47422
SPROHSA101	SPROHSA101	SPROHSA101		89	false	false		SPROHSA101		11.24	1.0000	0.9984	0.00000000000000	1	0	1	4	0	4	     0	     0	     0			SPROHSA102, SPROHSA18354, SPROHSA18355, SPROHSA18356, SPROHSA232489, SPROHSA9102, SPROHSA9103, SPROHSA98338, SPROHSA98339, SPROHSA98340
SPROHSA101091	SPROHSA101091	SPROHSA101091		74	false	false		SPROHSA101091		13.51	1.0000	0.9898	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA217040, SPROHSA319041, SPROHSA73362, SPROHSA86271
SPROHSA101179	SPROHSA101179	SPROHSA101179		84	false	false		SPROHSA101179		11.90	1.0000	0.9955	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA221453, SPROHSA298437
SPROHSA101955	SPROHSA101955	SPROHSA101955		96	false	false		SPROHSA101955		10.42	1.0000	0.9890	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA237975, SPROHSA3031, SPROHSA338, SPROHSA361922, SPROHSA72482
SPROHSA102089	SPROHSA102089	SPROHSA102089		97	false	false		SPROHSA102089		10.31	1.0000	0.9893	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA284213
SPROHSA102203	SPROHSA102203	SPROHSA102203		61	false	false		SPROHSA102203		14.75	1.0000	0.9955	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA102204, SPROHSA201558, SPROHSA201559
SPROHSA102275	SPROHSA102275	SPROHSA102275		34	false	false		SPROHSA102275		38.24	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA2149, SPROHSA339068, SPROHSA354262, SPROHSA54880
SPROHSA102649	SPROHSA102649	SPROHSA102649		78	false	false		SPROHSA102649		28.21	1.0000	0.9990	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA340788, SPROHSA382158, SPROHSA59025, SPROHSA59249
SPROHSA10275	SPROHSA10275	SPROHSA10275		38	false	false		SPROHSA10275		36.84	1.0000	0.9985	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA133564, SPROHSA230689, SPROHSA230690, SPROHSA238943, SPROHSA285654
SPROHSA103105	SPROHSA103105	SPROHSA103105		26	false	false		SPROHSA103105		34.62	1.0000	0.9748	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA167542, SPROHSA195986, SPROHSA222119, SPROHSA235319, SPROHSA259440, SPROHSA260812, SPROHSA326382, SPROHSA87352
SPROHSA103126	SPROHSA103126	SPROHSA103126		83	false	false		SPROHSA103126		10.84	1.0000	0.9710	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA110591, SPROHSA180812, SPROHSA236354, SPROHSA241707, SPROHSA296933, SPROHSA316733, SPROHSA73559
SPROHSA103420	SPROHSA103420	SPROHSA103420		88	false	false		SPROHSA103420		12.50	1.0000	0.9877	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA115381, SPROHSA117870, SPROHSA117871, SPROHSA237185, SPROHSA241459, SPROHSA241470, SPROHSA241495, SPROHSA243255, SPROHSA243366, SPROHSA245592, SPROHSA254440, SPROHSA272843, SPROHSA321885, SPROHSA348377, SPROHSA352581, SPROHSA352584, SPROHSA367012, SPROHSA367043, SPROHSA368935, SPROHSA383207, SPROHSA383210, SPROHSA43251, SPROHSA44001, SPROHSA58615, SPROHSA84684, SPROHSA86393
SPROHSA103471	SPROHSA103471	SPROHSA103471		99	false	false		SPROHSA103471		11.11	1.0000	0.9707	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA241781, SPROHSA279776
SPROHSA103831	SPROHSA103831	SPROHSA103831		75	false	false		SPROHSA103831		12.00	1.0000	0.9695	0.00288184438040	1	0	1	4	0	4	     0	     0	     0	N-term(42.0106)		SPROHSA253017, SPROHSA27814, SPROHSA32023, SPROHSA368099
SPROHSA10386	SPROHSA10386	SPROHSA10386		26	false	false		SPROHSA10386		42.31	1.0000	0.9977	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA10387, SPROHSA199283, SPROHSA199284, SPROHSA209222, SPROHSA209223, SPROHSA232988, SPROHSA232989, SPROHSA321552, SPROHSA321553, SPROHSA321554, SPROHSA329656, SPROHSA329657, SPROHSA354438, SPROHSA354439, SPROHSA354440, SPROHSA360016, SPROHSA360017, SPROHSA372450, SPROHSA80269, SPROHSA97283, SPROHSA97284, SPROHSA97285
SPROHSA103946	SPROHSA103946	SPROHSA103946		99	false	false		SPROHSA103946		9.09	1.0000	0.9359	0.01173402868318	2	0	2	2	0	2	     0	     0	     0			SPROHSA106634, SPROHSA106635, SPROHSA123820, SPROHSA299100, SPROHSA299101, SPROHSA318120, SPROHSA54331, SPROHSA5710, SPROHSA5711, SPROHSA99618
SPROHSA103995	SPROHSA103995	SPROHSA103995		37	false	false		SPROHSA103995		29.73	1.0000	0.9942	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA103996, SPROHSA103997, SPROHSA104883, SPROHSA104884, SPROHSA104885, SPROHSA156154, SPROHSA156155, SPROHSA156156, SPROHSA254316, SPROHSA254317, SPROHSA254318, SPROHSA288699, SPROHSA288700, SPROHSA288701, SPROHSA292065, SPROHSA303016, SPROHSA370181, SPROHSA370182, SPROHSA370183, SPROHSA378289, SPROHSA378290, SPROHSA378291, SPROHSA50283, SPROHSA50284, SPROHSA50285, SPROHSA84693, SPROHSA84694, SPROHSA84695
SPROHSA104097	SPROHSA104097	SPROHSA104097		60	false	false		SPROHSA104097		18.33	1.0000	0.9651	0.00339558573854	2	0	2	2	0	2	     0	     0	     0			SPROHSA217580, SPROHSA276435, SPROHSA276436, SPROHSA279787, SPROHSA286056, SPROHSA361748
SPROHSA104304	SPROHSA104304	SPROHSA104304		31	false	false		SPROHSA104304		35.48	1.0000	0.9936	0.00000000000000	2	0	2	2	0	2	     0	     0	     0			SPROHSA262719, SPROHSA273036, SPROHSA278974, SPROHSA278975, SPROHSA317769, SPROHSA59390, SPROHSA59391, SPROHSA59392
SPROHSA104436	SPROHSA104436	SPROHSA104436		93	false	false		SPROHSA104436		11.83	1.0000	0.9969	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA142827, SPROHSA155664, SPROHSA158525, SPROHSA207562, SPROHSA36160, SPROHSA366011, SPROHSA41895
SPROHSA104465	SPROHSA104465	SPROHSA104465		87	false	false		SPROHSA104465		20.69	1.0000	0.9981	0.00000000000000	5	0	5	9	0	9	     0	     0	     0			SPROHSA261063
SPROHSA104763	SPROHSA104763	SPROHSA104763		41	false	false		SPROHSA104763		24.39	1.0000	0.9886	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA121452, SPROHSA123799, SPROHSA186604, SPROHSA23186, SPROHSA252707, SPROHSA269584, SPROHSA279159, SPROHSA283758, SPROHSA332281, SPROHSA337652, SPROHSA33962, SPROHSA363909, SPROHSA4488, SPROHSA88304
SPROHSA105245	SPROHSA105245	SPROHSA105245		77	false	false		SPROHSA105245		11.69	1.0000	0.9866	0.00083194675541	1	0	1	1	0	1	     0	     0	     0	6C(119.0041)		SPROHSA244253, SPROHSA357507, SPROHSA378461
SPROHSA105477	SPROHSA105477	SPROHSA105477		39	false	false		SPROHSA105477		28.21	1.0000	0.9820	0.00144822592324	3	0	3	3	0	3	     0	     0	     0			SPROHSA105478, SPROHSA105479, SPROHSA209621, SPROHSA209622, SPROHSA209623, SPROHSA305392, SPROHSA305393, SPROHSA305394, SPROHSA338460, SPROHSA338461, SPROHSA338462, SPROHSA364244, SPROHSA364245, SPROHSA364246, SPROHSA391840, SPROHSA391841
SPROHSA105511	SPROHSA105511	SPROHSA105511		78	false	false		SPROHSA105511		19.23	1.0000	0.9983	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA119975, SPROHSA119976, SPROHSA227732, SPROHSA379799, SPROHSA38843
SPROHSA105785	SPROHSA105785	SPROHSA105785		79	false	false		SPROHSA105785		15.19	1.0000	0.9732	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA129938, SPROHSA161536, SPROHSA222437, SPROHSA223226, SPROHSA346699, SPROHSA381896, SPROHSA43816
SPROHSA105795	SPROHSA105795	SPROHSA105795		95	false	false		SPROHSA105795		9.47	1.0000	0.9852	0.00083194675541	1	0	1	1	0	1	     0	     0	     0	1Q(-17.0265)		SPROHSA132917, SPROHSA206110
SPROHSA105973	SPROHSA105973	SPROHSA105973		93	false	false		SPROHSA105973		12.90	1.0000	0.9975	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA318319, SPROHSA52845
SPROHSA106010	SPROHSA106010	SPROHSA106010		94	false	false		SPROHSA106010		18.09	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA15551, SPROHSA198125, SPROHSA223259, SPROHSA335511, SPROHSA363645, SPROHSA368593, SPROHSA388483, SPROHSA392416, SPROHSA63749, SPROHSA74959, SPROHSA94242
SPROHSA106075	SPROHSA106075	SPROHSA106075		91	false	false		SPROHSA106075		10.99	1.0000	0.9742	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA290785, SPROHSA387493, SPROHSA387494, SPROHSA389453
SPROHSA106396	SPROHSA106396	SPROHSA106396		33	false	false		SPROHSA106396		90.91	1.0000	0.9990	0.00000000000000	3	0	3	5	0	5	     0	     0	     0			SPROHSA108919, SPROHSA120988, SPROHSA13155, SPROHSA141679, SPROHSA178266, SPROHSA18862, SPROHSA205322, SPROHSA226552, SPROHSA229900, SPROHSA247512, SPROHSA258519, SPROHSA384937, SPROHSA391731
SPROHSA106615	SPROHSA106615	SPROHSA106615		78	false	false		SPROHSA106615		12.82	1.0000	0.9988	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA106616, SPROHSA106617, SPROHSA11911, SPROHSA11912, SPROHSA11913, SPROHSA2698, SPROHSA331453, SPROHSA331454, SPROHSA375650, SPROHSA375651, SPROHSA98685, SPROHSA98686, SPROHSA98687
SPROHSA106620	SPROHSA106620	SPROHSA106620		92	false	false		SPROHSA106620		10.87	1.0000	0.9972	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA10755, SPROHSA141589, SPROHSA17187, SPROHSA321686, SPROHSA325381, SPROHSA388033, SPROHSA391376, SPROHSA63641, SPROHSA8499
SPROHSA106810	SPROHSA106810	SPROHSA106810		37	false	false		SPROHSA106810		27.03	1.0000	0.9916	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA137448, SPROHSA200965, SPROHSA224983, SPROHSA243327, SPROHSA283134, SPROHSA322696, SPROHSA334391, SPROHSA34570, SPROHSA352437, SPROHSA352918, SPROHSA390110
SPROHSA106879	SPROHSA106879	SPROHSA106879		58	false	false		SPROHSA106879		22.41	1.0000	0.9986	0.00000000000000	3	0	3	5	0	5	     0	     0	     0	12M(15.9949), 3M(15.9949)		SPROHSA12066, SPROHSA217167, SPROHSA223055, SPROHSA23315, SPROHSA244833, SPROHSA288769, SPROHSA296064, SPROHSA320298, SPROHSA355506, SPROHSA36184, SPROHSA65059, SPROHSA80101
SPROHSA106923	SPROHSA106923	SPROHSA106923		47	false	false		SPROHSA106923		23.40	1.0000	0.9984	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA121613, SPROHSA179762, SPROHSA295148, SPROHSA302758
SPROHSA107067	SPROHSA107067	SPROHSA107067		58	false	false		SPROHSA107067		20.69	1.0000	0.9965	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA178358, SPROHSA178361, SPROHSA206682, SPROHSA230220, SPROHSA249795, SPROHSA273515, SPROHSA30543, SPROHSA308609, SPROHSA318935, SPROHSA328679, SPROHSA372847, SPROHSA376571, SPROHSA388901, SPROHSA44124, SPROHSA70627, SPROHSA72187, SPROHSA88276, SPROHSA91512
SPROHSA107389	SPROHSA107389	SPROHSA107389		28	false	false		SPROHSA107389		32.14	1.0000	0.9956	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA324536, SPROHSA392193
SPROHSA107671	SPROHSA107671	SPROHSA107671		39	false	false		SPROHSA107671		28.21	1.0000	0.9982	0.00000000000000	1	0	1	2	0	2	     0	     0	     0	4M(15.9949)		SPROHSA14611, SPROHSA198623, SPROHSA231469, SPROHSA3055, SPROHSA33615, SPROHSA65965, SPROHSA678
SPROHSA1079	SPROHSA1079	SPROHSA1079		55	false	false		SPROHSA1079		21.82	1.0000	0.9914	0.00083194675541	1	0	1	1	0	1	     0	     0	     0	1Q(-17.0265)		SPROHSA110036, SPROHSA147903, SPROHSA147904, SPROHSA149541, SPROHSA162845, SPROHSA162846, SPROHSA162847, SPROHSA241092, SPROHSA29074, SPROHSA319778, SPROHSA319779, SPROHSA319780, SPROHSA328506, SPROHSA328507, SPROHSA355535, SPROHSA39266, SPROHSA8831
SPROHSA108032	SPROHSA108032	SPROHSA108032		96	false	false		SPROHSA108032		9.38	1.0000	0.9922	0.00083194675541	1	0	1	2	0	2	     0	     0	     0	1Q(-17.0265)		SPROHSA108786, SPROHSA126891, SPROHSA157938, SPROHSA157939, SPROHSA16400, SPROHSA16401, SPROHSA2621, SPROHSA314001, SPROHSA327084, SPROHSA38426, SPROHSA44162, SPROHSA59407, SPROHSA59408, SPROHSA60816, SPROHSA72216, SPROHSA72217, SPROHSA75556, SPROHSA92545
SPROHSA10808	SPROHSA10808	SPROHSA10808		29	false	false		SPROHSA10808		31.03	1.0000	0.9948	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA10809, SPROHSA144818, SPROHSA144819, SPROHSA155928, SPROHSA158530, SPROHSA244040, SPROHSA2602, SPROHSA361473, SPROHSA387884, SPROHSA387885, SPROHSA65056, SPROHSA65057, SPROHSA76373
SPROHSA108491	SPROHSA108491	SPROHSA108491		79	false	false		SPROHSA108491		13.92	1.0000	0.9986	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA239480
SPROHSA108601	SPROHSA108601	SPROHSA108601		54	false	false		SPROHSA108601		25.93	1.0000	0.9985	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA161420, SPROHSA347440, SPROHSA383043, SPROHSA56731
SPROHSA109008	SPROHSA109008	SPROHSA109008		90	false	false		SPROHSA109008		14.44	1.0000	0.9979	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA163065
SPROHSA109136	SPROHSA109136	SPROHSA109136		80	false	false		SPROHSA109136		22.50	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA359662
SPROHSA109223	SPROHSA109223	SPROHSA109223		53	false	false		SPROHSA109223		20.75	1.0000	0.9983	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA140384, SPROHSA26461, SPROHSA265130, SPROHSA4248
SPROHSA109395	SPROHSA109395	SPROHSA109395		88	false	false		SPROHSA109395		10.23	1.0000	0.9963	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA226254, SPROHSA226255, SPROHSA226256, SPROHSA252332
SPROHSA10943	SPROHSA10943	SPROHSA10943		75	false	false		SPROHSA10943		18.67	1.0000	0.9945	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA243788, SPROHSA273859, SPROHSA27812, SPROHSA292304, SPROHSA304111, SPROHSA310726, SPROHSA310727, SPROHSA310728, SPROHSA322995, SPROHSA330702, SPROHSA330703, SPROHSA355244, SPROHSA64779, SPROHSA64780, SPROHSA64781, SPROHSA74708, SPROHSA82859
SPROHSA109438	SPROHSA109438	SPROHSA109438		62	false	false		SPROHSA109438		16.13	1.0000	0.9970	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA111422, SPROHSA117080, SPROHSA127595, SPROHSA211265, SPROHSA211266, SPROHSA268866, SPROHSA268867, SPROHSA318845
SPROHSA109714	SPROHSA109714	SPROHSA109714		97	false	false		SPROHSA109714		15.46	1.0000	0.9945	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA170485
SPROHSA109770	SPROHSA109770	SPROHSA109770		30	false	false		SPROHSA109770		30.00	1.0000	0.9772	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA110103, SPROHSA111604, SPROHSA138731, SPROHSA160406, SPROHSA160407, SPROHSA160408, SPROHSA160409, SPROHSA190947, SPROHSA190948, SPROHSA190949, SPROHSA190950, SPROHSA190951, SPROHSA190952, SPROHSA190953, SPROHSA207834, SPROHSA207835, SPROHSA207836, SPROHSA207837, SPROHSA247611, SPROHSA247612, SPROHSA247613, SPROHSA247614, SPROHSA247615, SPROHSA247616, SPROHSA247617, SPROHSA251945, SPROHSA350960, SPROHSA350961, SPROHSA350962, SPROHSA350963, SPROHSA350964, SPROHSA48351, SPROHSA48352, SPROHSA48353
SPROHSA110105	SPROHSA110105	SPROHSA110105		93	false	false		SPROHSA110105		10.75	1.0000	0.9890	0.00083194675541	2	0	2	2	0	2	     0	     0	     0			SPROHSA320804, SPROHSA388809, SPROHSA388810
SPROHSA110132	SPROHSA110132	SPROHSA110132		85	false	false		SPROHSA110132		40.00	1.0000	0.9980	0.00000000000000	4	0	3	5	0	3	     0	     0	     0	10C(119.0041)		SPROHSA230296, SPROHSA261158
SPROHSA110383	SPROHSA110383	SPROHSA110383		67	false	false		SPROHSA110383		17.91	1.0000	0.9963	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA116989, SPROHSA12326, SPROHSA141183, SPROHSA285566, SPROHSA301448, SPROHSA345541
SPROHSA110423	SPROHSA110423	SPROHSA110423		98	false	false		SPROHSA110423		10.20	1.0000	0.9891	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			
SPROHSA11056	SPROHSA11056	SPROHSA11056		93	false	false		SPROHSA11056		30.11	1.0000	0.9976	0.00000000000000	4	0	4	6	0	6	     0	     0	     0	10M(15.9949), 6C(119.0041)		SPROHSA181546, SPROHSA305960, SPROHSA321550, SPROHSA377941, SPROHSA76612
SPROHSA110642	SPROHSA110642	SPROHSA110642		46	false	false		SPROHSA110642		30.43	1.0000	0.9934	0.00000000000000	2	0	2	3	0	3	     0	     0	     0	9M(15.9949)		SPROHSA114415, SPROHSA137990, SPROHSA138962, SPROHSA138963, SPROHSA243828
SPROHSA110748	SPROHSA110748	SPROHSA110748		80	false	false		SPROHSA110748		26.25	1.0000	0.9986	0.00000000000000	2	2	2	2	2	2	     0	     0	     0			
SPROHSA111115	SPROHSA111115	SPROHSA111115		73	false	false		SPROHSA111115		16.44	1.0000	0.9981	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA127888, SPROHSA209747, SPROHSA341567, SPROHSA343291, SPROHSA383376, SPROHSA47732, SPROHSA53385
SPROHSA111162	SPROHSA111162	SPROHSA111162		99	false	false		SPROHSA111162		9.09	1.0000	0.9857	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA128567, SPROHSA129768, SPROHSA179288, SPROHSA200572, SPROHSA200573, SPROHSA200574, SPROHSA24135, SPROHSA241610, SPROHSA241637, SPROHSA342440, SPROHSA357846, SPROHSA39872, SPROHSA39875, SPROHSA39876, SPROHSA39898
SPROHSA11122	SPROHSA11122	SPROHSA11122		73	false	false		SPROHSA11122		15.07	1.0000	0.9974	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA174272, SPROHSA83101
