Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GRLCL_1D_ETHCD Spectral Count	GRLCL_1D_HCD Spectral Count	GRLCL_2D_ETHCD Spectral Count	GRLCL_1D_ETHCD Intensity	GRLCL_1D_HCD Intensity	GRLCL_2D_ETHCD Intensity	Indistinguishable Proteins
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	1.0000	0.9988	3	4	4	4	2	2	0	     0	     0	     0		
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0000	0.9990	8	37	36	37	1	2	34	     0	     0	     0		
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-64	1.0000	0.9988	1	2	0	2	0	1	1	     0	     0	     0	sp|A0A0B4J1X8|HV343_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, sp|P01767|HV353_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P0DTE1|HV383_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, tr|A0AAG2SXZ4|A0AAG2SXZ4_HUMAN	
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	1.0000	0.9908	3	6	0	6	2	2	2	     0	     0	     0	sp|P01624|KV315_HUMAN	
sp|A0A1W2PQ73|ERFL_HUMAN	A0A1W2PQ73	ERFL_HUMAN	ERFL	354	Homo sapiens	3:Protein inferred from homology	ETS domain-containing transcription factor ERF-like	1.0000	0.9871	1	1	0	1	1	0	0	     0	     0	     0	sp|P41162|ETV3_HUMAN, sp|P50548|ERF_HUMAN, sp|Q6ZN32|ETV3L_HUMAN	
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	Homo sapiens	1:Experimental evidence at protein level	Malignant T-cell-amplified sequence 2	1.0000	0.9942	1	6	0	6	1	2	3	     0	     0	     0	sp|Q9ULC4|MCTS1_HUMAN	
sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	295	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2B	1.0000	0.9930	2	38	0	38	2	2	34	     0	     0	     0	sp|P08865|RSSA_HUMAN	
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 47	1.0000	0.9949	2	4	4	4	0	1	3	     0	     0	     0		
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0000	0.9979	2	3	3	3	1	1	1	     0	     0	     0		
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	HACL2	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0000	0.9954	2	2	2	2	0	1	1	     0	     0	     0		
sp|A2RUB6|CCD66_HUMAN	A2RUB6	CCD66_HUMAN	CCDC66	948	Homo sapiens	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 66	1.0000	0.9963	2	2	2	2	0	0	2	     0	     0	     0		
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens	1:Experimental evidence at protein level	DENN domain-containing protein 3	1.0000	0.9882	2	2	2	2	0	1	1	     0	     0	     0		
sp|A2VDF0|FUCM_HUMAN	A2VDF0	FUCM_HUMAN	FUOM	154	Homo sapiens	1:Experimental evidence at protein level	Fucose mutarotase	1.0000	0.9966	1	3	3	3	2	1	0	     0	     0	     0		
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0000	0.9969	5	7	6	7	0	0	7	     0	     0	     0		
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0000	0.9989	11	15	15	15	1	8	6	     0	     0	     0		
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens	1:Experimental evidence at protein level	RCC1 domain-containing protein 1	1.0000	0.9985	1	4	4	4	1	1	2	     0	     0	     0		
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0000	0.9980	6	7	7	7	1	0	6	     0	     0	     0		
sp|A6NHT5|HMX3_HUMAN	A6NHT5	HMX3_HUMAN	HMX3	357	Homo sapiens	1:Experimental evidence at protein level	Homeobox protein HMX3	1.0000	0.9901	3	4	4	4	1	1	2	     0	     0	     0		
sp|A7E2V4|ZSWM8_HUMAN	A7E2V4	ZSWM8_HUMAN	ZSWIM8	1837	Homo sapiens	1:Experimental evidence at protein level	Zinc finger SWIM domain-containing protein 8	1.0000	0.9955	1	4	4	4	2	2	0	     0	     0	     0		
sp|A8K8P3|SFI1_HUMAN	A8K8P3	SFI1_HUMAN	SFI1	1242	Homo sapiens	1:Experimental evidence at protein level	Protein SFI1 homolog	1.0000	0.9913	2	2	2	2	0	0	2	     0	     0	     0		
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	1.0000	0.9941	2	4	4	4	1	1	2	     0	     0	     0		
sp|A8MYP8|CMA1B_HUMAN	A8MYP8	CMA1B_HUMAN	CIMAP1B	253	Homo sapiens	1:Experimental evidence at protein level	Ciliary microtubule associated protein 1B	1.0000	0.9959	1	2	2	2	0	0	2	     0	     0	     0		
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ig	1.0000	0.9984	7	12	12	12	2	4	6	     0	     0	     0		
sp|B2RPK0|HGB1A_HUMAN	B2RPK0	HGB1A_HUMAN	HMGB1P1	211	Homo sapiens	1:Experimental evidence at protein level	High mobility group protein B1-like 1	1.0000	0.9986	5	27	0	27	1	3	23	     0	     0	     0	sp|P09429|HMGB1_HUMAN	
sp|B2RXH8|HNRC2_HUMAN	B2RXH8	HNRC2_HUMAN	HNRNPCL2	293	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein C-like 2	1.0000	0.9988	1	2	0	2	0	2	0	     0	     0	     0	sp|B7ZW38|HNRC3_HUMAN, sp|O60812|HNRC1_HUMAN, sp|P07910|HNRPC_HUMAN, sp|P0DMR1|HNRC4_HUMAN	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein	1.0000	0.9986	12	24	0	24	1	8	15	     0	     0	     0	sp|Q99613|EIF3C_HUMAN	
sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3_HUMAN	WASH3P	463	Homo sapiens	1:Experimental evidence at protein level	Putative WAS protein family homolog 3	1.0000	0.9987	2	6	0	6	1	2	3	     0	     0	     0	sp|Q6VEQ5|WASH2_HUMAN, tr|A0AAG2TVC3|A0AAG2TVC3_HUMAN	
sp|C9J798|RAS4B_HUMAN	C9J798	RAS4B_HUMAN	RASA4B	803	Homo sapiens	1:Experimental evidence at protein level	Ras GTPase-activating protein 4B	1.0000	0.9985	3	3	0	3	0	0	3	     0	     0	     0	sp|O43374|RASL2_HUMAN	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1.0000	0.9964	1	3	3	3	0	1	2	     0	     0	     0		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0000	0.9980	3	4	0	4	1	1	2	     0	     0	     0	sp|Q13838|DX39B_HUMAN	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0000	0.9961	2	3	3	3	1	2	0	     0	     0	     0		
