Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	false	true	Bos taurus	Beta-casein	1:Experimental evidence at protein level	7.59	1.0000	0.9988	0.00000000000000	2	2	2	2	2	2	     0	     0	     0			
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	true	Bos taurus	Albumin	1:Experimental evidence at protein level	3.46	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	     0	     0	     0			
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	false	false	Homo sapiens	Immunoglobulin heavy variable 3-64	1:Experimental evidence at protein level	9.32	1.0000	0.9988	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			sp|A0A0B4J1X8|HV343_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, sp|P01767|HV353_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P0DTE1|HV383_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, tr|A0AAG2SXZ4|A0AAG2SXZ4_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	false	false	Homo sapiens	Immunoglobulin kappa variable 3D-15	1:Experimental evidence at protein level	9.57	1.0000	0.9908	0.00367985280589	2	0	2	2	0	2	     0	     0	     0			sp|P01624|KV315_HUMAN
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	false	false	Homo sapiens	Malignant T-cell-amplified sequence 2	1:Experimental evidence at protein level	4.97	1.0000	0.9942	0.00293255131965	1	0	1	2	0	2	     0	     0	     0	5M(15.9949)		sp|Q9ULC4|MCTS1_HUMAN
sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	295	false	false	Homo sapiens	Small ribosomal subunit protein uS2B	1:Experimental evidence at protein level	2.71	1.0000	0.9930	0.00367985280589	1	0	1	2	0	2	     0	     0	     0			sp|P08865|RSSA_HUMAN
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	false	false	Homo sapiens	RNA-binding protein 47	1:Experimental evidence at protein level	1.52	1.0000	0.9949	0.00235109717868	1	1	1	1	1	1	     0	     0	     0			
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	false	false	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	0.95	1.0000	0.9979	0.00000000000000	1	1	1	1	1	1	     0	     0	     0			
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	HACL2	632	false	false	Homo sapiens	2-hydroxyacyl-CoA lyase 2	1:Experimental evidence at protein level	1.42	1.0000	0.9954	0.00162008910490	1	1	1	1	1	1	     0	     0	     0			
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	false	false	Homo sapiens	DENN domain-containing protein 3	1:Experimental evidence at protein level	0.75	1.0000	0.9882	0.00489490354161	1	1	1	1	1	1	     0	     0	     0			
